0a	0:AH;1:EY
5plankton	2010:AE NG T AH N
1i	1:AY
2-meson	112:AA N
2a	10:IY AH
3cente	0010:EH N T IY
7ini	00010:IY N IY
3get	201:EY
6's	201:EY Z
3na	010:AE N AH
4ist	010:AE N AH S T;010:AA N AH S T;100:IY AH N IH S T
7's	010:AE N AH S T S;100:IY AH N IH S T S
7s	010:AE N AH S T S;100:IY AH N IH S T S;010:AE N AH S;100:IY AH N IH S
4ka	010:AA NG K AH
4o	010:AE N OW;010:AE N AH
5's	010:AE N OW Z;010:AE N AH Z
5s	010:AE N OW Z;010:AE N AH Z
3scik	100:IY AH S CH IH K
4ecki	0010:EH T S K IY
4io	0100:AE S IY OW
3tek	010:AA T EH K
4kowski	0010:AO F S K IY
4t	10:AY AH T
3zza	010:AE Z AH
5olla	2010:AA L AH
2c	1:IH K
3-a-pasta	1010:AA S T AH
3a	10:AY K AH
4bo	010:AA B OW
4nte	010:AA N T EY
4rd	01:AA R D
5esque	201:EH S K
5iello	00010:EH L OW
5o	102:OW
4s	10:AY K AH Z
5so	010:AA S OW
7's	010:AA S OW Z
7s	010:AA S OW S
4yune	201:UW N
4zo	010:AA Z OW
3cadilly	1020:IH L IY
4hi	10:IH K IY
5u	10:IY CH UW
4iano	2010:AA N OW
5nini	0010:IY N IY
5one	010:OW N IY
5rilli	0010:IY L IY
9o	0010:IH L OW
4o	10:IH K OW
5la	010:OW L AH
6i	010:OW L IY
6o	102:OW
5ne	010:OW N IY
3ha	10:IH CH AH
5rdo	010:AA R D OW
4e	1:IH CH
5ny	012:IY
5r	10:IH CH ER
5tte	01:EH T
4ler	10:IH CH L ER;10:IH K L ER
4on	10:IH CH AH N
4t	1:IH K T
3inich	100:IH S IH N IH CH
3k	1:IH K
4-up	12:AH P
7s	12:AH P S
4ands	10:IH K AH N D Z
5r	01:AA R
6d	01:AA R D
6t	12:AA R T
4ed	1:IH K T
5l	10:IH K AH L
6l	10:IH K AH L
6simer	1000:IH K IH L S IH M ER
5n	10:IH K AH N
6s	10:IH K AH N Z
7'	10:IH K AH N Z
8s	100:IH K AH N Z IH Z
5r	10:IH K ER
6al	100:IH K ER AH L
6el	100:IH K ER AH L
8l	100:IH K ER AH L
6ill	102:IH L
7ng	100:IH K ER IH NG
6s	10:IH K ER Z
6t	10:IH K ER T
5t	10:IH K IH T
6ed	100:IH K AH T IH D
7r	100:IH K AH T ER
8s	100:IH K AH T ER Z
6ing	100:IH K AH T IH NG
6s	10:IH K AH T S
6t	10:IH K IH T
7's	10:IH K IH T S
4ford	10:IH K F ER D
4ier	100:IH K IY ER
5ng	10:IH K IH NG
7s	10:IH K IH NG Z
6s	10:IH K IH N Z
4le	10:IH K AH L
6d	10:IH K AH L D
6r	100:IH K AH L ER;10:IH K L ER
6s	10:IH K AH L Z
7imer	1000:IH K AH L S IH M ER
5ing	10:IH K L IH NG
4ney	10:IH K N IY
4pocket	120:AA K AH T
as	120:AA K AH T S
4rel	10:IH K R AH L
7l	10:IH K R AH L
6n	100:IH K ER AH N
5on	10:IH K R AH N
4s	1:IH K S
4up	12:AH P
6s	12:AH P S
5s	10:IH K AH S
4wick	12:IH K
5orth	12:ER TH
4y	10:IH K IY
3nic	12:IH K
6s	12:IH K S
3o	10:IY K OW
4n	10:IH K AH N
5e	01:OW N
4p	12:AA P
4tte	01:AO T
4u	10:IY K UW
5lt	01:OW L T
4wer	12:AW R
3tet	10:IH K T IH T
4on	10:IH K T AH N
5rial	0100:AO R IY AH L
4s	1:IH K T S
4ure	10:IH K CH ER
7's	10:IH K CH ER Z
7d	10:IH K CH ER D
7s	10:IH K CH ER Z
8'	10:IH K CH ER Z
8que	100:IH K CH ER AH S K
7tel	122:EH L
6ing	100:IH K CH ER IH NG
2dcock	10:IH D K AH K
3dle	10:IH D AH L
6s	10:IH D AH L Z
5ing	100:IH D AH L IH NG;10:IH D L IH NG
4ock	10:IH D AH K
3geon	10:IH D JH IH N
2e	1:AY
3bald	12:AO L D
3ce	1:IY S
5d	1:IY S T
5meal	12:IY L
5s	10:IY S AH Z;10:IY S IH Z
5work	12:ER K
4h	1:IY CH
5's	10:IY CH IH Z
5ocki	010:OW T S K IY
6ta	010:OW T AH
6wski	010:AO F S K IY
4ing	10:IY S IH NG
4uch	10:IY K AH K
4zynski	010:IH N S K IY
3d	1:AY D
4boeuf	12:AH F
4mont	12:AA N T
8's	12:AA N T S
4ra	10:IY D R AH
3hl	1:IY L
3karski	010:AA R S K IY
3l	1:IY L
4a	10:IY L AH
3nta	10:IY N T AH
3per	10:IY P ER
4gras	12:AE S
4ho	10:IY F OW
3r	1:IH R
4accini	2010:IY N IY
5tt	10:IY R AH T
4ce	1:IH R S
6's	10:IH R S IH Z
6all	01:IY L
6d	1:IH R S T
6y	01:IY
5ing	10:IH R S IH NG
5y	10:IH R K IY
4ette	01:EH T
4i	10:IY R IY
5e	010:EH R IY
6's	010:EH R IY Z
5ni	010:IY N IY
4man	10:IH R M AH N
4o	10:IY R OW
5ni	010:OW N IY
5tti	010:OW T IY
4point	01:OY N T
6nt	12:AA N T
4re	01:EH R
6's	01:EH R Z
6louis	100:IH R IH L W IY Z;10:EH R L W IY Z
6pont	010:EY P OW N T;10:EH R P OW N T
5o	10:IH R OW
6n	01:AO N
4s	1:IH R Z
5all	10:IH R S AH L
5ol	10:IH R S AO L
6n	10:IH R S AH N
3s	1:AY Z
4's	10:AY Z IH Z
3t	10:AY IH T;1:EH T;1:IY T
4er	10:IY T ER
6maritzburg	20100:EH R IH T S B ER G
6s	10:IY T ER Z
4ies	100:AY AH T IY Z
5la	010:IY L AH
5sm	100:IY T IH Z AH M
4rangelo	0010:EH L OW
6s	10:IY T R AH Z
5o	010:EH T R OW
6wski	010:AO F S K IY
5uski	2010:AH S K IY
7zka	010:AH SH K AH
5zak	100:IY T ER Z AE K
6yk	100:IY T ER Z IH K
4sch	1:IY CH
4te	1:IY T
4y	100:AY AH T IY
4z	1:IY T S
3zoelectric	202010:EH K T R IH K
2fer	10:AY F ER
2g	1:IH G
3's	1:IH G Z
3an	10:IH G AH N
3eon	10:IH JH AH N;10:IH JH IH N
6's	10:IH JH AH N Z
6hole	102:OW L
ad	102:OW L D
6s	10:IH JH AH N Z
3ford	10:IH G F ER D
3g	1:IH G
4ee	11:IY
4ly	10:IH G L IY
4ott	10:IH G AH T
4y	10:IH G IY
5back	102:AE K
9ed	102:AE K T
9ing	1020:AE K IH NG
3let	10:IH G L IH T
6s	10:IH G L IH T S
3man	10:IH G M AH N
4ent	10:IH G M AH N T
7ation	2010:EY SH AH N
7ed	210:EH T IH D
7s	10:IH G M AH N T S
4ied	10:IH G M IY D
4y	10:IH G M IY
3nataro	0010:AA R OW
6elli	0010:EH L IY
6o	010:AA T OW
4one	010:OW N IY
3ott	10:IH G AH T
3s	1:IH G Z
4kin	12:IH N
7s	12:IH N Z
4ty	12:AY
3ue	1:IY G
2h	1:IH;111:EY CH
3l	1:IH L
2k	1:IH K
3e	1:AY K
4r	10:AY K ER
5s	10:AY K ER Z
4s	1:AY K S
3ul	10:IH K AH L
5a	010:UW L AH
4s	10:AY K AH S
2l	1:IH L
3af	21:AA F
4nd	10:IH L AH N D
5t	10:IY L AH N T
4r	10:AY L ER
5ski	010:AA R S K IY
4ster	010:AE S T ER
8s	010:AE S T ER Z
4t	10:IY L AA T
5e	12:AH T
6's	12:AH T S
6s	012:IY S
5o	010:AA T OW
5us	010:EY T AH S
3ch	1:IH L CH
5er	10:IH L CH ER
3e	1:AY L
4cki	010:EH K IY
4d	1:AY L D
4ggi	010:EH JH IY
4s	1:AY L Z
4up	12:AH P
4vsky	010:EH V S K IY
3fer	10:IH L F ER
6age	100:IH L F ER IH JH
6ed	10:IH L F ER D
6ing	100:IH L F ER IH NG
6s	10:IH L F ER Z
3ger	10:IH L G ER
4ram	10:IH L G R AH M
5een	01:IY N
5im	10:IH L G R AH M;10:IH L G R IH M
7's	10:IH L G R AH M Z
7age	100:IH L G R AH M AH JH;100:IH L G R AH M IH JH
as	1000:IH L G R AH M IH JH IH Z
7s	10:IH L G R AH M Z
3ing	10:AY L IH NG
6s	10:AY L IH NG Z
3kenton	010:EH N T AH N
5rton	010:ER T AH N
4ington	100:IH L K IH NG T AH N
6ton	100:IH L K IH N T AH N
3l	1:IH L
4's	1:IH L Z
4a	10:IH L AH
5ge	10:IH L IH JH
7d	10:IH L IH JH D
7r	100:IH L IH JH ER
8's	100:IH L IH JH ER Z
8s	100:IH L IH JH ER Z
7s	100:IH L IH JH IH Z
6ing	100:IH L IH JH IH NG
5r	10:IH L ER
6d	10:IH L ER D
6ed	10:IH L ER D
6s	10:IH L ER Z
4e	1:IH L
5r	10:IH L ER
5y	10:IH L IY
4ing	10:IH L IH NG
5on	10:IH L Y AH N
4oried	100:IH L ER IY D
6y	100:IH L ER IY
5w	10:IH L OW
6s	10:IH L OW Z
6tex	102:EH K S
4s	1:IH L Z
5bury	120:EH R IY
9's	120:EH R IY Z
3nak	10:IH L N AE K
3on	01:AO N
4t	10:AY L AH T
5's	10:AY L AH T S
5ed	100:AY L AH T IH D
5ing	100:AY L AH T IH NG
5less	100:AY L AH T L AH S
5s	10:AY L AH T S
6'	10:AY L AH T S
5te	01:AO T
3sner	10:IH L Z N ER
4on	10:IH L S AH N
3tdown	12:AW N
4z	1:IH L T S
3z	1:IH L Z
2ma	10:IY M AH
3co	10:IH M K OW
3ental	010:EH N T AH L
6el	100:IH M IH N T AH L
3m	1:IH M
4's	1:IH M Z
3p	1:IH M P
4ing	10:IH M P IH NG
4lapure	201:UH R
5e	10:IH M P AH L
6s	10:IH M P AH L Z
4s	1:IH M P S
2n	1:IH N
3a	10:IY N AH
4rd	10:IH N ER D
4tubo	0010:UW B OW
4ult	21:AO L T
3ball	12:AO L
3cavage	100:IH NG K AH V IH JH
4erlike	102:AY K
6s	10:IH N S ER Z
4h	1:IH N CH
5ed	1:IH N CH T
6r	10:IH N CH ER
7s	10:IH N CH ER Z
5ing	10:IH N CH IH NG
4kard	10:IH NG K ER D
5ney	10:IH NG K N IY
4us	10:IH NG K AH S
3daric	010:AE R IH K
4ell	10:IH N D AH L
5r	10:AY N D ER
4ling	10:IH N D L IH NG
3e	1:AY N
4al	210:IY AH L
5pple	120:AE P AH L
9s	120:AE P AH L Z
5u	01:OW
4d	1:AY N D
5a	010:EH D AH
5o	010:EY D OW
4gar	100:IH N IH G ER
4iro	010:EH R OW
4llas	010:EH L AH S
6i	010:EH L IY
4o	100:IH N IY OW
4r	10:AY N ER
5o	010:EH R OW
4s	1:AY N Z
4tta	010:EH T AH
7's	010:EH T AH Z
6e	01:EH T
3g	1:IH NG
4-pong	12:AO NG
4ed	1:IH NG D
5l	10:IH NG G AH L
4ing	10:IH NG IH NG
5tore	0012:IY
4leton	100:IH NG G AH L T AA N
6y	10:IH NG G L IY
4pong	12:AO NG
4ree	01:IY
4s	1:IH NG Z
3heiro	010:EH R OW
4o	10:IH N HH OW
5le	12:OW L
7s	12:OW L Z
3i	10:IY N IY
4ng	10:AY N IH NG
4on	10:IH N Y AH N
3k	1:IH NG K
4ard	10:IH NG K ER D
4elman	100:IH NG K AH L M AH N
5r	10:IH NG K ER
6man	100:IH NG K ER M AH N
6ton	100:IH NG K ER T AH N
9's	100:IH NG K ER T AH N Z
5st	10:IH NG K IH S T
5tt	10:IH NG K IH T
4ham	10:IH NG K HH AH M
4ie	10:IH NG K IY
5sh	10:IH NG K IH SH
4ley	10:IH NG K L IY
4ney	10:IH NG K N IY
4os	10:IH NG K OW Z
5wski	010:AO F S K IY
4s	1:IH NG K S
5taff	12:AE F
6on	10:IH NG K S T AH N
4us	10:IH NG K AH S
4water	120:AO T ER
9's	120:AO T ER Z
4y	10:IH NG K IY
3n	1:IH N
4acle	100:IH N AH K AH L
8's	100:IH N IH K AH L Z
4ed	1:IH N D
5ll	10:IH N AH L
5o	100:IH N IY OW
5r	10:IH N ER
5y	10:IH N IY
4ick	10:IH N IH K
5ng	10:IH N IH NG
5x	10:IH N IH K S
4ochio	0122:OW
9's	0122:OW Z
6k	10:IH N AH K
5w	10:IH N OW
3o	10:IY N OW
4's	10:IY N OW Z
4cchio	0100:OW K IY OW
5het	201:EY;201:EH T
8's	201:EY Z;201:EH T S
4la	010:OW L AH
4t	10:IH N AH T
3point	12:OY N T
8ed	120:OY N T IH D
8ing	120:OY N T IH NG
8s	12:OY N T S
4rick	10:IH N P R IH K
3quater	120:AA T ER
3s	1:IH N Z
4han	10:IH N SH AH N
4ker	10:IH N S K ER
5y	10:IH N S K IY
4on	10:IH N S AH N
6eault	102:AO L T;201:OW
4tripe	12:AY P
9d	12:AY P T
9s	12:AY P S
3t	1:AY N T
4-size	11:AY Z
9d	11:AY Z D
4a	10:IH N T AH
5r	01:AA R
4er	10:AY N T ER
6est	10:IH N T R AH S T
4o	12:OW
4s	1:AY N T S
3y	10:AY N IY
4an	10:IH N Y AH N
3zon	21:AO N
2o	10:AY OW
3n	12:AA N
4eer	201:IH R
7's	201:IH R Z
7ed	201:IH R D
7ing	2010:IH R IH NG
7s	201:IH R Z
4tek	010:OW N T EH K
5kowski	0010:AO F S K IY
3rkowski	0010:AO F S K IY
3trowski	0010:AO F S K IY
4ter	010:AA T ER
3us	10:AY AH S
5ly	100:AY AH S L IY
2p	1:IH P
3e	1:AY P
4d	1:AY P T
4fish	12:IH SH
8es	120:IH SH IH Z
4line	12:AY N
8's	12:AY N Z
8s	12:AY N Z
9'	12:AY N Z
4r	10:AY P ER
5s	10:AY P ER Z
4s	1:AY P S
4tec	12:EH K
5te	21:EH T
7r	210:EH T ER
8s	210:EH T ER Z
7s	21:EH T S
3her	10:IH F ER
3ing	10:AY P IH NG
4tone	102:OW N
3kin	10:IH P K IH N
6s	10:IH P K IH N Z
3p	1:IH P
4en	10:IH P AH N
6's	10:IH P AH N Z
6ger	100:IH P IH N JH ER
5rt	10:IH P ER T
4in	10:IH P IH N
6s	10:IH P IH N Z
3s	1:IH P S
2quant	10:IY K AH N T
4e	1:IY K
5d	1:IY K T
5tte	01:EH T
2racy	100:AY R AH S IY
4eus	010:EY AH S
4ino	010:EY N OW
4ndello	2010:EH L OW
5ha	010:AE N HH AH
4te	10:AY R AH T
6's	10:AY R AH T S
6d	100:AY R AH T IH D
6s	10:AY R AH T S
5ing	100:AY R AH T IH NG
3elli	010:EH L IY
7's	010:EH L IY Z
4s	1:AY R Z
5tani	2010:AA N IY
3ie	10:IH R IY
3key	10:ER K IY
4l	10:ER K AH L
5e	10:ER K AH L
4o	10:ER K OW
3o	10:IH R OW
4g	01:AA G
4ne	01:OW N
4uette	201:EH
9s	201:EH T S
4zzi	010:AA Z IY
3rello	010:EH L OW
4o	10:IH R OW
5ne	010:OW N IY
3tle	10:ER T AH L
2sa	10:IY S AH
4ni	010:AA N IY
5o	010:AA N OW
4rek	100:IH S ER EH K
5ski	010:AA R S K IY
3ca	10:IH S K AH
5taway	0102:EY
4es	10:AY S IY Z
4hel	10:IH SH AH L
5ke	1:IH SH K
4iotta	010:OW T AH
5telli	0010:EH L IY
9o	2010:EH L OW
4opo	010:OW P OW
3ello	010:EH L OW
3oni	010:OW N IY
3s	1:IH S
4-poor	12:UW R
4ed	1:IH S T
5s	12:IH Z
4ing	12:IH NG
3tachio	0102:OW
9s	0102:OW Z
4il	10:IH S T AH L
6li	010:IY L IY
4ol	10:IH S T AH L
6e	01:OW L;010:OW L EY
6s	10:IH S T AH L Z
5n	10:IH S T AH N
6e	10:IY S T OW N
6s	10:IH S T AH N Z
5r	10:IH S T ER
6io	2100:AO R IY OW
2t	1:IH T
3a	10:IY T AH
3blado	010:AA D OW
3ch	1:IH CH
5blende	12:EH N D
5ed	1:IH CH T
6r	10:IH CH ER
7's	10:IH CH ER Z
7s	10:IH CH ER Z
6s	10:IH CH IH Z
5ford	10:IH CH F ER D
8k	12:AO R K
9s	12:AO R K S
5ing	10:IH CH IH NG
5man	10:IH CH M AH N
6en	11:EH N
4ock	12:AA K
3fall	12:AO L
7s	12:AO L Z
3h	1:IH TH
4y	10:IH TH IY
3iable	1000:IH T IY AH B AH L
4ed	12:IY D
5salpetriere	010001:EH R
4ful	100:IH T AH F AH L
7ly	1000:IH T IH F AH L IY;100:IH T IH F L IY
4less	100:IH T IY L AH S
4no	010:IY N OW
3kin	10:IH T K IH N
3man	10:IH T M AH N
3ner	10:IH T N ER
5y	10:IH T N IY
3ofsky	010:AA F S K IY
4n	12:AO N
5s	12:AO N Z
3re	10:AY T ER
3s	1:IH T S
4ch	1:IH CH
4enbarger	1000:IH T S IH N B AA R G ER
4tick	12:IH K
4won	10:IH T S W AA N
3t	1:IH T
4's	1:IH T S
4ance	10:IH T AH N S
5rd	10:IH T ER D
4ed	10:IH T IH D
5ncrieff	102:IY F
6ger	100:IH T IH N JH ER
4ing	10:IH T IH NG
7er	100:IH T IH NG ER
4le	10:IH T AH L
4man	10:IH T M AH N
4ner	10:IH T N ER
4s	1:IH T S
5's	10:IH T S IH Z
5boro	100:IH T S B ER OW
6urg	10:IH T S B ER G
9h	10:IH T S B ER G
a's	10:IH T S B ER G Z
aer	100:IH T S B ER G ER
cs	100:IH T S B ER G ER Z
5field	10:IH T S F IY L D
6ord	10:IH T S F ER D
5ley	10:IH T S L IY
5ton	10:IH T S T AH N
3uitary	01020:EH R IY
3y	10:IH T IY
4ing	100:IH T IY IH NG
3z	1:IH T S
4en	10:IH T Z AH N
5r	10:IH T Z ER
2us	10:AY AH S
2ver	10:AY V ER
3onka	010:AA NG K AH
4t	10:IH V AH T
5al	100:IH V AH T AH L
5ed	100:IH V AH T IH D
5ing	100:IH V AH T IH NG
5s	10:IH V AH T S
2x	1:IH K S
3ar	10:IH K S AA R
3el	10:IH K S AH L
5s	10:IH K S AH L Z
3ie	10:IH K S IY
3ler	10:IH K S L ER
5y	10:IH K S L IY
2zana	010:AE N AH
5o	010:AA N OW
4rro	010:AA R OW
4tti	010:AA T IY
4zz	01:AE Z
3er	10:AY Z ER
3za	10:IY T S AH
5's	10:IY T S AH Z
5no	010:AA N OW
5s	10:IY T S AH Z
5zier	010:AE Z Y ER
6z	21:AE Z
4eria	2010:IY AH
8s	2010:IY AH Z
4i	10:IH Z IY
5menti	0010:EH N T IY
5no	010:IY N OW
5tola	0010:OW L AH
4o	10:IH Z OW
5lato	0010:AA T OW
4uti	010:UW T IY
6o	010:UW T OW
1j's	12:EY Z
1la	1:AA
3card	10:AE K ER D
7s	10:AE K ER D Z
5te	10:EY K EY T
6ing	120:EY T IH NG
4e	1:EY S
5's	10:EY S IH Z
5bo	010:IY B OW
7s	010:IY B OW Z
5d	1:EY S T
5k	12:EH K
5mat	12:AE T
6ent	10:EY S M AH N T
9s	10:EY S M AH N T S
5ncia	010:EH N CH AH
6ta	010:EH N T AH
7ia	010:EH N SH AH
5r	10:AE S ER;10:EY S ER
5s	10:EY S AH Z;10:EY S IH Z
5ta	010:EY T AH
7s	010:EY T AH Z
5way	12:EY
4id	10:AE S AH D;10:AE S IH D
6's	10:AE S IH D Z
6a	010:IY D AH
6ly	100:AE S IH D L IY
6o	100:AA CH IH D OW;010:IY D OW
5ng	10:EY S IH NG
4k	1:AE K
5's	1:AE K S
5e	1:AE K
5o	10:AE K OW
4oid	10:AE K OY D
4zek	10:AA CH EH K
3gens	10:AE G AH N Z
4ge	1:AE G
4iarism	1020:IH Z AH M
8ze	102:AY Z
ad	102:AY Z D
5oclase	1002:EY S
4ue	1:EY G
6d	1:EY G D
6s	1:EY G Z
5ing	10:EY G IH NG
3ia	10:AA Y AH
4d	1:AE D
4n	1:EY N
5clothes	11:OW Z
5er	10:EY N ER
6s	1:EY N Z
5field	12:IY L D
5ly	10:EY N L IY
5o	10:EY N OW
5s	1:EY N Z
6ong	12:AO NG
5tiff	10:EY N T AH F;10:EY N AH F
9's	10:EY N T IH F S;10:EY N IH F S
9s	10:EY N T IH F S;10:EY N IH F S
a'	10:EY N T IH F S;10:EY N IH F S
7ve	10:EY N T IH V;10:EY N IH V
9ly	120:AY V L IY
5view	12:UW
4r	1:EH R
4sance	10:EY S AH N S
5ted	100:AA IH S T IH D;10:EY S T IH D
4t	1:EY T
5ed	10:EY T IH D
5ing	10:EY T IH NG
5s	1:EY T S
3ke	1:EY K
3m	1:AE M
4ann	10:AA M AH N
4beck	12:EH K
4ondon	001:AO N
3n	1:AE N
4's	1:AE N Z
4ar	10:EY N ER
6ian	0100:EH R IY AH N
5s	10:AE N AH Z
4ck	1:AE NG K
4e	1:EY N
5's	1:EY N Z
5con	102:AA N;12:AA N
5d	1:EY N D
5load	12:OW D
9s	12:OW D Z
5r	10:EY N ER
6s	10:EY N ER Z
5s	1:EY N Z
6'	1:EY N Z
5t	10:AE N AH T
6's	10:AE N AH T S
6arium	20100:EH R IY AH M
8y	1020:EH R IY
6s	10:AE N AH T S
4itzer	100:AE N IH T S ER
4k	1:AE NG K
5ing	10:AE NG K IH NG
5s	1:AE NG K S
5ton	10:AE NG K T AH N
8ic	010:AA N IH K
4ned	1:AE N D
6r	10:AE N ER
7's	10:AE N ER Z
7s	10:AE N ER Z
8'	10:AE N ER Z
5ing	10:AE N IH NG
4o	10:EY N OW
4s	1:AE N Z
5'	1:AE N Z
4t	1:AE N T
5's	1:AE N T S
5ain	10:AE N T AH N
8s	10:AE N T AH N Z
6tion	210:EY SH AH N
as	210:EY SH AH N Z
5e	1:AE N T
6d	10:AE N T IH D
6r	10:AE N T ER
7s	10:AE N T ER Z
5iffs	10:AE N T IH F S
6ng	10:AE N T IH NG
8s	10:AE N T IH NG Z
5like	12:AY K
5ronic	210:AA N IH K
as	210:AA N IH K S
5s	1:AE N T S
6'	1:AE N T S
5z	1:AE N T S
3que	1:AE K
6s	1:AE K S
3s	1:AE S
4cencia	010:EH N CH AH
4encia	010:EH N CH AH
4kett	10:AE S K IH T
4ma	10:AE Z M AH
5inogen	2100:IH N AH JH IH N
5odia	0100:OW D IY AH
8um	0100:OW D IY AH M
4s	1:AE S
5ard	10:AE S ER D
5e	1:AE S
4ter	10:AE S T ER
7board	102:AO R D
7ed	10:AE S T ER D
8r	100:AE S T ER ER
7ing	100:AE S T ER IH NG
7s	10:AE S T ER Z
7work	102:ER K
5ic	10:AE S T IH K
7ine	102:IY N
8zer	1020:AY Z ER
7s	10:AE S T IH K S
3ta	10:AA T AH
4e	1:EY T
5au	01:OW
7ed	01:OW D
7ing	010:OW IH NG
5d	10:EY T IH D
5k	10:AA T EH K
5let	10:EY T L AH T
8s	10:EY T L AH T S
6ike	12:AY K
5n	10:AE T AH N
5r	10:EY T ER
5s	1:EY T S
4form	12:AO R M
8's	12:AO R M Z
8s	12:AO R M Z
4h	1:AE TH
4ing	10:EY T IH NG
6um	10:AE T N AH M;100:AE T AH N AH M
8's	100:AE T AH N AH M Z;10:AE T N AH M Z
5tude	102:UW D
9s	102:UW D Z
4ner	10:AE T N ER
4o	10:EY T OW
5's	10:EY T OW Z
5na	010:OW N AH
6ic	010:AA N IH K
7st	100:EY T AH N AH S T
9s	100:EY T AH N AH S T S
5on	01:UW N
7s	01:UW N Z
4t	1:AE T
5e	1:AE T
6n	10:AE T AH N
6r	10:AE T ER
7s	10:AE T ER Z
5ner	10:AE T N ER
5s	1:AE T S
6burgh	10:AE T S B ER G
4y	10:EY T IY
5pus	102:UH S
4z	1:AE T S
5er	10:EY T Z ER
3uche	1:AO CH
4dit	10:AO D IH T
7s	10:AO D IH T S
4gher	10:AO ER
4sibility	20100:IH L IH T IY
7le	100:AO Z AH B AH L
8y	100:AO Z AH B L IY
4t	1:AO T
5us	10:AW T AH S
5z	1:AO T S
3vsic	10:AE V S IH K
7's	10:AE V S IH K S
3x	1:AE K S
3y	1:EY
4's	1:EY Z
4a	10:AY AH
4back	12:AE K
5ook	10:EY B UH K
6y	12:OY
7's	12:OY Z
4count	12:AW N T
4ed	1:EY D
5r	10:EY ER
6's	10:EY ER Z
6s	10:EY ER Z
7'	10:EY ER Z
4ford	10:EY F ER D
5ul	10:EY F AH L
7ly	100:EY F AH L IY
7ness	100:EY F AH L N AH S
4ground	12:AW N D;12:AW N
as	12:AW N D Z;12:AW N Z
4house	12:AW S
9s	120:AW S IH Z
4in'	10:EY IH N
6g	10:EY IH NG
4list	10:EY L IH S T
8s	10:EY L IH S T S
4mate	12:EY T
8s	12:EY T S
4off	12:AO F
7s	12:AO F S
4pen	12:EH N
7s	12:EH N Z
4room	12:UW M
8s	12:UW M Z
4s	1:EY Z
5tation	120:EY SH AH N
bs	120:EY SH AH N Z
4tex	12:EH K S
5hing	12:IH NG
9s	12:IH NG Z
4wright	12:AY T
a's	12:AY T S
as	12:AY T S
3za	10:AA Z AH;10:AE Z AH
5's	10:AA Z AH Z;10:AE Z AH Z
5s	10:AA Z AH Z;10:AE Z AH Z
4ic	10:EY Z IH K
2ea	1:IY
4d	1:IY D
5ed	10:IY D IH D
5ing	10:IY D IH NG
8s	10:IY D IH NG Z
5s	1:IY D Z
4s	1:IY Z
5ant	10:EH Z AH N T
8ly	100:EH Z AH N T L IY
8on	100:EH Z AH N T AH N
8ries	100:EH Z AH N T R IY Z
9y	100:EH Z AH N T R IY
8s	10:EH Z AH N T S
8ville	102:IH L
5e	1:IY Z
6d	1:IY Z D
6r	10:IY Z ER
6s	10:IY Z IH Z
5ing	10:IY Z IH NG
8ly	100:IY Z IH NG L IY
5urable	1000:EH ZH ER AH B AH L
8ma	2010:AE M AH
7e	10:EH ZH ER
8s	10:EH ZH ER Z
4t	1:IY T
5s	1:IY T S
3beian	010:IY AH N
8s	010:IY AH N Z
4iscite	102:AY T
3d	1:EH D
4ge	1:EH JH
6d	1:EH JH D
6r	10:EH JH ER
6s	10:EH JH IH Z
5ing	10:EH JH IH NG
3iad	10:IY AH D
6es	102:IY Z
6s	10:IY AH D Z
4n	1:IY N
4stocene	102:IY N
3mmons	10:EH M AH N Z
4ons	10:EH M AH N Z
3nary	100:EH N ER IY;100:IY N ER IY
4et	10:EH N IH T
4meer	01:IH R
4tiful	100:EH N T AH F AH L;100:EH N T IH F AH L;100:EH N AH F AH L;100:EH N IH F AH L
5y	10:EH N T IY;10:EH N IY
4um	10:EH N AH M
6's	10:EH N AH M Z
3omorphic	2010:AO F IH K
asm	20100:AO F IH Z AH M
4nasm	1020:AE Z AH M
3scia	10:EY SH Y AH
4e	1:IY Z
4har	12:AA R
4kow	10:EH S K AW
4s	1:EH S
5ey	10:EH S IY
7's	10:EH S IY Z
5inger	100:EH S IH NG ER
6s	10:EH S IH S
5y	10:EH S IY
3tcher	10:EH CH ER
4hora	100:EH TH ER AH;010:AO R AH
4scher	10:EH CH ER
4t	1:EH T
4z	1:EH T S
3ural	10:UH R AH L
5isy	100:UH R AH S IY
6tides	2102:IY Z
8s	210:AY T AH S;2010:AY T AH S
3va	10:EY V AH
3w	1:UW
4a	10:UW AH
3x	1:EH K S
4iglas	102:AE S
9s	102:AE S
4us	10:EH K S AH S
2iable	100:AY AH B AH L
4nt	10:AY AH N T
3chta	10:IH CH T AH
3ed	1:AY D
4r	10:AY ER
5s	10:AY ER Z
4s	1:AY Z
3ght	1:AY T
3ler	10:AY L ER
3mpton	10:IH M P T AH N
3nius	100:IH N IY AH S
4k	1:IH NG K
5ing	10:IH NG K IH NG
4th	1:IH N TH
4y	10:IH N IY
3ocene	102:IY N
3setskaya	2010:AY AH
4ka	10:IH S K AH
3tt	1:IH T
2ocar	10:OW K AA R
4ek	12:EH K
4h	1:AA K
5er	10:AA K ER
4k	1:AA K
3d	1:AA D
4ded	10:AA D IH D
5ing	10:AA D IH NG
3eger	10:OW G ER
4tz	1:OW T S
3g	1:AA G
3hn	1:OW N
3nka	10:OW NG K AH
4ski	10:AA N S K IY
3of	1:UW F
